2012/11/19 23:41:28 - Connecting to AWS region us-west-2.
2012/11/19 23:41:28 - Calculating new unique cluster name for request 411.
2012/11/19 23:41:28 - Creating new cluster name, Hpcc-ZWME.
2012/11/19 23:41:28 - Creating Hpcc-ZWME security group.
2012/11/19 23:41:32 - Creating Hpcc-ZWME key pair.
2012/11/19 23:41:33 - Launching 13 m1.large nodes using ami-e01698d0.
2012/11/19 23:41:34 - Reservation ID r-59a8896a created.
2012/11/19 23:41:34 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:41:43 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:41:52 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:42:00 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:42:09 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:42:17 - Waiting for 13 of 13 nodes to launch.
2012/11/19 23:42:26 - Waiting for 9 of 13 nodes to launch.
2012/11/19 23:42:34 - Waiting for 4 of 13 nodes to launch.
2012/11/19 23:42:40 - Waiting for 4 of 13 nodes to launch.
2012/11/19 23:42:48 - Waiting for 2 of 13 nodes to launch.
2012/11/19 23:42:53 - Pending instances have completed.
2012/11/19 23:42:53 - Checking each node launched properly.
2012/11/19 23:43:01 - 50.112.83.78:    Software installation finished.
2012/11/19 23:43:01 - 50.112.83.78:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:01 - 50.112.53.249:   Checking file contents.
2012/11/19 23:43:01 - 50.112.70.103:   Software installation finished.
2012/11/19 23:43:01 - 50.112.70.103:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/19 23:43:01 - 54.245.48.199:   Checking file contents.
2012/11/19 23:43:01 - 50.112.70.104:   Checking file contents.
2012/11/19 23:43:01 - 54.245.41.49:    Checking file contents.
2012/11/19 23:43:01 - 50.112.53.249:   Remote file contents confirmed.
2012/11/19 23:43:01 - 50.112.15.60:    Checking file contents.
2012/11/19 23:43:01 - 54.245.53.255:   Checking file contents.
2012/11/19 23:43:01 - 54.245.35.163:   Checking file contents.
2012/11/19 23:43:01 - 50.112.232.185:  Checking file contents.
2012/11/19 23:43:01 - 54.245.48.199:   Remote file contents confirmed.
2012/11/19 23:43:01 - 50.112.83.78:    Checking file contents.
2012/11/19 23:43:01 - 50.112.70.104:   Remote file contents confirmed.
2012/11/19 23:43:01 - 54.245.41.49:    Remote file contents confirmed.
