2012/10/24 16:50:32 - Connecting to AWS region us-west-2.
2012/10/24 16:50:32 - Calculating new unique cluster name for request 367.
2012/10/24 16:50:33 - Creating new cluster name, Hpcc-TRSY.
2012/10/24 16:50:33 - Creating Hpcc-TRSY security group.
2012/10/24 16:50:37 - Creating Hpcc-TRSY key pair.
2012/10/24 16:50:37 - Launching 11 m1.large nodes using ami-bcd4588c.
2012/10/24 16:50:38 - Reservation ID r-4d24607e created.
2012/10/24 16:50:38 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:50:47 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:50:55 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:03 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:11 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:18 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:26 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:34 - Waiting for 11 of 11 nodes to launch.
2012/10/24 16:51:43 - Waiting for 9 of 11 nodes to launch.
2012/10/24 16:51:50 - Waiting for 8 of 11 nodes to launch.
2012/10/24 16:51:57 - Waiting for 5 of 11 nodes to launch.
2012/10/24 16:52:04 - Waiting for 4 of 11 nodes to launch.
2012/10/24 16:52:10 - Waiting for 3 of 11 nodes to launch.
2012/10/24 16:52:16 - Waiting for 1 of 11 nodes to launch.
2012/10/24 16:52:21 - Waiting for 1 of 11 nodes to launch.
2012/10/24 16:52:27 - Waiting for 1 of 11 nodes to launch.
2012/10/24 16:52:32 - Waiting for 1 of 11 nodes to launch.
2012/10/24 16:52:37 - Waiting for 1 of 11 nodes to launch.
2012/10/24 16:52:42 - Pending instances have completed.
2012/10/24 16:52:42 - Checking each node launched properly.
2012/10/24 16:52:46 - 50.112.239.30:   Software installation finished.
2012/10/24 16:52:46 - 50.112.239.30:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/24 16:52:46 - 50.112.63.31:    Checking software installation completed.
2012/10/24 16:52:46 - 50.112.12.255:   Checking file contents.
2012/10/24 16:52:46 - 50.112.63.31:    Software installation finished.
2012/10/24 16:52:46 - 50.112.63.31:    Sending /home/ubuntu/node_health_script via SFTP.
2012/10/24 16:52:46 - 50.112.75.127:   Checking file contents.
2012/10/24 16:52:46 - 50.112.12.255:   Remote file contents confirmed.
2012/10/24 16:52:46 - 50.112.83.131:   Checking file contents.
2012/10/24 16:52:46 - 50.112.237.24:   Checking file contents.
2012/10/24 16:52:46 - 54.245.52.221:   Checking file contents.
2012/10/24 16:52:46 - 54.245.48.6:     Checking file contents.
2012/10/24 16:52:46 - 50.112.87.151:   Checking file contents.
2012/10/24 16:52:46 - 50.112.86.101:   Checking file contents.
2012/10/24 16:52:46 - 50.112.22.3:     Checking file contents.
2012/10/24 16:52:46 - 50.112.239.30:   Checking file contents.
2012/10/24 16:52:46 - 50.112.75.127:   Remote file contents confirmed.
2012/10/24 16:52:46 - 50.112.83.131:   Remote file contents confirmed.
2012/10/24 16:52:46 - 50.112.237.24:   Remote file contents confirmed.
2012/10/24 16:52:46 - 54.245.52.221:   Remote file contents confirmed.
2012/10/24 16:52:46 - 54.245.48.6:     Remote file contents confirmed.
2012/10/24 16:52:47 - 50.112.87.151:   Remote file contents confirmed.
2012/10/24 16:52:47 - 50.112.63.31:    Checking file contents.
2012/10/24 16:52:47 - 50.112.86.101:   Remote file contents confirmed.
2012/10/24 16:52:47 - 50.112.22.3:     Remote file contents confirmed.
