2015/05/01 15:39:40 - Connecting to AWS region us-east-1.
2015/05/01 15:39:40 - Calculating new unique cluster name for request 1085.
2015/05/01 15:39:40 - Creating new cluster name, Hpcc-ZBH7.
2015/05/01 15:39:40 - Creating Hpcc-ZBH7 security group.
2015/05/01 15:39:42 - Creating Hpcc-ZBH7 key pair.
2015/05/01 15:39:42 - Launching 20 m1.large nodes using ami-72ac861a.
2015/05/01 15:39:43 - Reservation ID r-27e505d6 created.
2015/05/01 15:39:43 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:39:50 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:39:57 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:04 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:10 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:17 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:23 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:30 - Waiting for 16 of 20 nodes to launch.
2015/05/01 15:40:37 - Waiting for 12 of 20 nodes to launch.
2015/05/01 15:40:43 - Waiting for 5 of 20 nodes to launch.
2015/05/01 15:40:48 - Waiting for 5 of 20 nodes to launch.
2015/05/01 15:40:54 - Waiting for 2 of 20 nodes to launch.
2015/05/01 15:40:59 - Pending instances have completed.
2015/05/01 15:40:59 - Checking each node launched properly.
2015/05/01 15:41:06 - 52.7.14.178:     Checking software installation completed.
2015/05/01 15:41:06 - 52.4.236.183:    Checking software installation completed.
2015/05/01 15:41:06 - 52.7.32.241:     Checking software installation completed.
2015/05/01 15:41:06 - 52.7.35.214:     Checking software installation completed.
2015/05/01 15:41:06 - 52.7.14.178:     Waiting for software to install.
2015/05/01 15:41:06 - 52.7.30.77:      Checking software installation completed.
2015/05/01 15:41:06 - 52.4.103.50:     Checking software installation completed.
2015/05/01 15:41:06 - 52.6.63.241:     Checking software installation completed.
2015/05/01 15:41:06 - 52.4.236.183:    Software installation finished.
2015/05/01 15:41:06 - 52.4.236.183:    Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:06 - 52.7.36.31:      Checking software installation completed.
2015/05/01 15:41:06 - 52.7.35.214:     Software installation finished.
2015/05/01 15:41:06 - 52.7.35.214:     Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:06 - 52.7.32.131:     Checking software installation completed.
2015/05/01 15:41:06 - 52.7.32.241:     Software installation finished.
2015/05/01 15:41:06 - 52.7.32.241:     Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:06 - 52.7.36.99:      Checking software installation completed.
2015/05/01 15:41:06 - 52.4.236.183:    Checking file contents.
2015/05/01 15:41:06 - 52.4.236.183:    Remote file contents confirmed.
2015/05/01 15:41:06 - 52.4.103.50:     Software installation finished.
2015/05/01 15:41:06 - 52.4.103.50:     Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:06 - 52.7.35.214:     Checking file contents.
2015/05/01 15:41:06 - 52.7.32.241:     Checking file contents.
2015/05/01 15:41:06 - 52.7.35.214:     Remote file contents confirmed.
2015/05/01 15:41:06 - 52.7.32.241:     Remote file contents confirmed.
2015/05/01 15:41:06 - 52.7.36.31:      Software installation finished.
2015/05/01 15:41:06 - 52.7.36.31:      Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:06 - 52.7.32.131:     Software installation finished.
2015/05/01 15:41:06 - 52.7.32.131:     Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:06 - 52.7.36.99:      Software installation finished.
2015/05/01 15:41:06 - 52.7.36.99:      Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:06 - 52.7.32.209:     Checking software installation completed.
2015/05/01 15:41:06 - 52.7.33.82:      Checking software installation completed.
2015/05/01 15:41:06 - 52.4.103.50:     Checking file contents.
2015/05/01 15:41:06 - 52.7.32.24:      Checking software installation completed.
2015/05/01 15:41:06 - 52.0.168.171:    Checking software installation completed.
2015/05/01 15:41:06 - 52.7.36.31:      Checking file contents.
2015/05/01 15:41:06 - 52.4.103.50:     Remote file contents confirmed.
2015/05/01 15:41:06 - 52.7.35.221:     Checking software installation completed.
2015/05/01 15:41:06 - 52.7.36.99:      Checking file contents.
2015/05/01 15:41:06 - 52.7.32.131:     Checking file contents.
2015/05/01 15:41:06 - 52.7.36.31:      Remote file contents confirmed.
2015/05/01 15:41:06 - 52.7.36.99:      Remote file contents confirmed.
2015/05/01 15:41:06 - 52.7.32.131:     Remote file contents confirmed.
2015/05/01 15:41:06 - 52.0.168.171:    Software installation finished.
2015/05/01 15:41:06 - 52.0.168.171:    Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:06 - 52.7.32.24:      Software installation finished.
2015/05/01 15:41:06 - 52.7.32.24:      Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:06 - 52.7.35.214:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/05/01 15:41:06 - 52.7.35.221:     Software installation finished.
2015/05/01 15:41:06 - 52.7.35.221:     Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:06 - 52.7.35.214:     Completed check of node 52.7.35.214.
2015/05/01 15:41:06 - 52.7.32.241:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/05/01 15:41:06 - 52.7.32.241:     Completed check of node 52.7.32.241.
2015/05/01 15:41:06 - 52.7.32.24:      Checking file contents.
2015/05/01 15:41:06 - 52.7.30.77:      Software installation finished.
2015/05/01 15:41:06 - 52.7.30.77:      Sending /home/ubuntu/node_health_script via SFTP.
2015/05/01 15:41:06 - 52.7.33.82:      Software installation finished.
2015/05/01 15:41:06 - 52.7.33.82:      Sending /home/ubuntu/node_health_script via SFTP.
