2013/09/19 16:44:10 - Connecting to AWS region us-west-2.
2013/09/19 16:44:10 - Calculating new unique cluster name for request 693.
2013/09/19 16:44:11 - Creating new cluster name, Hpcc-3CSR.
2013/09/19 16:44:11 - Creating Hpcc-3CSR security group.
2013/09/19 16:44:14 - Creating Hpcc-3CSR key pair.
2013/09/19 16:44:15 - Launching 18 m1.large nodes using ami-221d8012.
2013/09/19 16:44:16 - Reservation ID r-d9d792ed created.
2013/09/19 16:44:16 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:26 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:35 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:44 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:53 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:01 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:10 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:19 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:28 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:37 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:46 - Waiting for 3 of 18 nodes to launch.
2013/09/19 16:45:52 - Pending instances have completed.
2013/09/19 16:45:52 - Checking each node launched properly.
2013/09/19 16:46:01 - 50.112.3.239:    Checking software installation completed.
2013/09/19 16:46:01 - 54.245.162.196:  Checking software installation completed.
2013/09/19 16:46:01 - 54.214.117.232:  Checking software installation completed.
2013/09/19 16:46:01 - 54.202.23.4:     Remote file contents confirmed.
2013/09/19 16:46:01 - 54.245.30.222:   Software installation finished.
2013/09/19 16:46:01 - 54.245.30.222:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/19 16:46:01 - 54.214.115.219:  Software installation finished.
2013/09/19 16:46:01 - 54.214.115.219:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/19 16:46:01 - 54.245.195.181:  Checking software installation completed.
2013/09/19 16:46:01 - 54.214.181.127:  Software installation finished.
2013/09/19 16:46:01 - 54.214.181.127:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/19 16:46:01 - 54.212.207.13:   Checking software installation completed.
2013/09/19 16:46:01 - 54.212.153.58:   Software installation finished.
2013/09/19 16:46:01 - 54.212.153.58:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/19 16:46:01 - 54.218.131.175:  Software installation finished.
2013/09/19 16:46:01 - 54.218.131.175:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/19 16:46:01 - 54.214.117.232:  Software installation finished.
2013/09/19 16:46:01 - 54.214.117.232:  Sending /home/ubuntu/node_health_script via SFTP.
2013/09/19 16:46:01 - 50.112.204.51:   Checking software installation completed.
2013/09/19 16:46:01 - 54.218.155.98:   Checking software installation completed.
2013/09/19 16:46:01 - 50.112.3.239:    Software installation finished.
2013/09/19 16:46:01 - 50.112.3.239:    Sending /home/ubuntu/node_health_script via SFTP.
