2013/09/25 21:53:28 - Connecting to AWS region us-west-2.
2013/09/25 21:53:28 - Calculating new unique cluster name for request 707.
2013/09/25 21:53:28 - Creating new cluster name, Hpcc-V4UW.
2013/09/25 21:53:28 - Creating Hpcc-V4UW security group.
2013/09/25 21:53:32 - Creating Hpcc-V4UW key pair.
2013/09/25 21:53:32 - Launching 18 m1.large nodes using ami-221d8012.
2013/09/25 21:53:33 - Reservation ID r-a88f9e9c created.
2013/09/25 21:53:33 - Waiting for 18 of 18 nodes to launch.
2013/09/25 21:53:43 - Waiting for 18 of 18 nodes to launch.
2013/09/25 21:53:51 - Waiting for 18 of 18 nodes to launch.
2013/09/25 21:54:00 - Waiting for 18 of 18 nodes to launch.
2013/09/25 21:54:08 - Waiting for 18 of 18 nodes to launch.
2013/09/25 21:54:17 - Waiting for 18 of 18 nodes to launch.
2013/09/25 21:54:26 - Waiting for 17 of 18 nodes to launch.
2013/09/25 21:54:36 - Waiting for 15 of 18 nodes to launch.
2013/09/25 21:54:45 - Waiting for 13 of 18 nodes to launch.
2013/09/25 21:54:54 - Waiting for 3 of 18 nodes to launch.
2013/09/25 21:54:59 - Pending instances have completed.
2013/09/25 21:54:59 - Checking each node launched properly.
2013/09/25 21:55:08 - 54.214.173.52:   Software installation finished.
2013/09/25 21:55:08 - 54.214.173.52:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 21:55:08 - 54.212.85.162:   Software installation finished.
2013/09/25 21:55:08 - 54.212.85.162:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 21:55:08 - 54.245.147.242:  Checking software installation completed.
2013/09/25 21:55:08 - 54.202.90.216:   Checking software installation completed.
2013/09/25 21:55:08 - 54.202.34.107:   Checking software installation completed.
2013/09/25 21:55:08 - 50.112.3.239:    Software installation finished.
2013/09/25 21:55:08 - 50.112.3.239:    Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 21:55:08 - 54.214.98.238:   Software installation finished.
2013/09/25 21:55:08 - 54.214.98.238:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 21:55:08 - 54.244.80.122:   Software installation finished.
2013/09/25 21:55:08 - 54.244.80.122:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/25 21:55:08 - 50.112.229.83:   Checking software installation completed.
2013/09/25 21:55:08 - 50.112.72.109:   Checking software installation completed.
2013/09/25 21:55:08 - 54.245.39.107:   Checking file contents.
